state,x,y
Andhra Pradesh,-52,-101
Arunachal Pradesh,164,110
Assam,141,80
Bihar,42,56
Chhattisgarh,-3,-0
Goa,-118,-93
Gujarat,-152,23
Haryana,-83,116
Himachal Pradesh,-68,153
Jammu & Kashmir,-82,211
Jharkhand,42,34
Karnataka,-96,-108
Kerala,-83,-170
Madhya Pradesh,-62,26
Maharashtra,-96,-33
Manipur,158,55
Meghalaya,117,64
Mizoram,145,33
Nagaland,167,79
Orissa,29,-14
Punjab,-99,137
Rajasthan,-129,78
Sikkim,80,94
Tamil Nadu,-54,-163
Telangana,-48,-57
Tripura,127,39
Uttar Pradesh,-28,70
Uttarakhand,-45,130
West Bengal,101,43
Andaman & Nicobar Islands,156,-166
Dadra and Nagar Haveli,-131,-21
Daman and Diu,-160,-11
Lakshadweep,-138,-174
Puducherry,-37,-146
Chandigarh,-77,133
